,Description,Address,Price,No of beds,No of baths,No of toilets
0,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
1,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
2,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
3,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
4,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
5,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
6,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
7,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
8,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
9,3 Bedroom Terrace + BQ,The Venice Sangotedo Lagos,Not available,3 beds,3 baths,4 Toilets
10,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
11,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
12,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
13,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
14,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
15,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
16,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
17,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
